209	
1		Umar
1	$anfu'd-Dawlih	$anfu'd-Dawla
1	&sayn-‘Alí	&sayn-Ali
1	&‘Alíy-i-Sayyah	&Aliy-i-Sayyah
1	'Abdu-l-Bahá	'Abdu-l-Baha
1	'Bayán-	'Bayan-
1	'IKitab-i-Íqán.''	'IKitab-i-Iqan.''
1	'Íqán	'Iqan
1	*<u>Sh</u>í‘ah	*Shi'ah
1	*Bahá’u’lláh	*Baha'u'llah
1	*Bahá’u’lláh's	*Baha'u'llah's
1	*Bahá’í	*Bahá'í
1	*Náṣiri’d-Dín	*Nasiri'd-Din
1	*\<u>Kh</u>ánum	*\Khánum
1	+F4Bahá’í	+F4Bahá'í
1	-<u>Sh</u>ay<u>kh</u>	-Shaykh
2	-Bahá’u’lláh	-Baha'u'llah
1	-Bahá’í	-Baha'i
1	-Bahá’í	-Bahai
1	-Kamál	-Kamal
1	-Muḥammad	-Muhammad
1	-i-Haykalu'd-Dín	-i-Haykalu'd-Din
1	-i-Mírzá	-i-Mirza
1	-‘Abdu’l-Bahd	-'Abdu1-Bahd
1	-‘Abdu’l-Bahá	-'Abdu'l-Baha
1	-‘Abdu’l-Bahá's	-'Abdu'l-Baha's
3	/Ma<u>sh</u>riqu’l-A<u>dh</u>kár	/Mashriqu'l-Adhkar
1	1"<u>Sh</u>ay<u>kh</u>	1"Shaykh
1	1'Vizamu's-Sulṭán	1'Vizamu's-Sultan
1	114-i-<u>Sh</u>áh	114-i-Shah
1	12‘Abdu’l-Bahá	12Abdu’l-Baha
1	155du'l-Bahá	155du'l-Baha
1	15‘Abdu’l-Bahá's	15Abdu’l-Baha's
1	164).Bahá’u’lláh	164).Baha'u'llah
1	242)‘Abdu’l-Bahá	242)'Abdu'l-Bahá
1	37Siyyid	37Sayyid
1	3Mírzá	3Mirza
1	430.Bahá	430.Baha
1	432.Bahá	432.Baha
1	44.Bahá	44.Baha
1	49.Bahá’í	49.Baha'i
1	68Mírzá	68Mirza
1	736‘Abdu’l-Bahá	736'Abdu'l-Bahá
1	8.Bahá’í	8.Baha'i
1	8Mírzá	8Mirza
2	<U>DH</U>IKRU’LLÁH	DHIKRU'LLAH
1	<U>KH</U>URASÁN	KHURASAN
1	<U>KH</U>USRAW	KHUSRAW
9	<U>KH</U>ÁN	KHAN
1	<U>KH</U>ÁN-I-<U>SH</U>AVIRDÍ	KHAN-I-SHAVIRDI
1	<U>KH</U>ÁN-I-BALUCH	KHAN-I-BALUCH
1	<U>KH</U>ÁN-I-TUNUKABANI	KHAN-I-TUNUKABANI
1	<U>KH</U>ÁN-I-‘AVÁMID	KHAN-I-'AVAMID
1	<U>KH</U>ÁN-l-QÁ’IM-MAQAMI	KHAN-l-QA'IM-MAQAMI
8	<U>KH</U>ÁNUM	KHANUM
1	<U>KH</U>ÁNUM	KHÁNUM
7	<U>SH</U>AY<U>KH</U>	SHAYKH
1	<U>SH</U>AY<U>KH</U>ISM	SHAYKHISM
6	<U>SH</U>ÁH	SHAH
1	<U>SH</U>ÁH'S	SHAH'S
1	<U>SH</U>ÁH's	SHAH's
5	<U>SH</U>ÍRÁZ	SHIRAZ
1	<U>SH</U>ÍRÁZ+	SHIRAZ+
1	<em>Bahá’u’lláh	<em>Bahá'u'lláh
2	<em>Bahá’u’lláh</em>	<em>Bahá'u'lláh</em>
1	<em>Bahá’í	<em>Bahá'í
1	<em>Bahá’í</em>	<em>Bahá'í</em>
1	<em>Hádí*th</em>	<em>Hadí*th</em>
1	<em>Makátíb-i-‘Abdu’l-Bahá</em>	<em>Makátíb-i-‘Abdu'l-Bahá</em>
1	<em>‘Abdu’l-Bahá	<em>‘Abdu'l-Bahá
1	<em>‘Abdu’l-Bahá</em>	<em>‘Abdu'l-Bahá</em>
1	<http://bahai-library.org/provisionals/Bayán	<http://bahai-library.org/provisionals/Bayan
1	<i>Bahá’u’lláh	<i>Bahá'u'lláh
1	<i>Bahá’í	<i>Bahá'í
1	<i>‘Abdu’l-Bahá</i>	<i>‘Abdu'l-Bahá</i>
9	<u>Dh</u>ikr	Dhikr
1	<u>Dh</u>ikr'u'llah	Dhikr'u'llah
18	<u>Dh</u>ikru’lláh	Dhikru'llah
1	<u>Dh</u>ikru’lláh	Dhikru'lláh
1	<u>Dh</u>ikru’lláh-al-A'zam	Dhikru'llah-al-A'zam
1	<u>Dh</u>ikru’lláh-al-Akbar	Dhikru'llah-al-Akbar
1	<u>Dh</u>ikru’lláh}	Dhikru'llah}
2	<u>Dh</u>ikr}	Dhikr}
2	<u>Gh</u>ulám-‘Alí	<u>Gh</u>ulám-'Alí
1	<u>Kh</u>adíjih-Sulṭán-Bagum	<u>Kh</u>adíjih-Sultán-Bagum
1	<u>Kh</u>adíjih-Sulṭán-Bagum's	<u>Kh</u>adíjih-Sultán-Bagum's
8	<u>Kh</u>alq	Khalq
5	<u>Kh</u>alq}	Khalq}
1	<u>Kh</u>ayru’lláh	Khairullah
2	<u>Kh</u>ayru’lláh	Khayr'u'llah
15	<u>Kh</u>ayru’lláh	Khayru'llah
1	<u>Kh</u>ayru’lláh	Khayru'lláh
8	<u>Kh</u>ayru’lláh's	Khayru'llah's
12	<u>Kh</u>ayyám	Khayyam
4	<u>Kh</u>ayyám's	Khayyam's
1	<u>Kh</u>udabak<u>sh</u>í	Khodabakshi
1	<u>Kh</u>ur<u>sh</u>íd	Khorsheed
2	<u>Kh</u>urasán	Khorasan
2	<u>Kh</u>urasán	Khorassan
40	<u>Kh</u>urasán	Khurasan
2	<u>Kh</u>urasán	Khurásán
1	<u>Kh</u>urasán/Sistan	Khurasan/Sistan
1	<u>Kh</u>urasán[1]-all	Khurasan[1]-all
1	<u>Kh</u>urasán\	Khurasan\
1	<u>Kh</u>urasán}	Khurasan}
6	<u>Kh</u>urasání	Khorassani
13	<u>Kh</u>urasání	Khurasani
1	<u>Kh</u>urasání's	Khorassani's
2	<u>Kh</u>urasání's	Khurasani's
3	<u>Kh</u>usraw	Khosro
1	<u>Kh</u>usraw	Khosroe
4	<u>Kh</u>usraw	Khosrow
18	<u>Kh</u>usraw	Khusraw
1	<u>Kh</u>usraw's	Khosro's
1	<u>Kh</u>usraw's	Khosroe's
1	<u>Kh</u>usraw's	Khosrow's
4	<u>Kh</u>usraw's	Khusraw's
1	<u>Kh</u>usraw, ‘Abdu’l-Bahá's	Khosro, Abdul Baha's
2	<u>Kh</u>usraw-i-Qádí-Kalá’í	Khusraw-i-Qadi-Kala'i
1	<u>Kh</u>usraw-i-Qádí-Kalá’í	Khusraw-i-Qadikala'i
94	<u>Kh</u>án	Khan
6	<u>Kh</u>án	Khán
1	<u>Kh</u>án'-come	Khan'-come
31	<u>Kh</u>án's	Khan's
3	<u>Kh</u>án's	Khán's
1	<u>Kh</u>án, Mírzá ‘Alí-Akbar <u>Kh</u>án	Khan, Mirza 'Ali Akbar Khan
1	<u>Kh</u>án,Mírzá	Khan,Mirza
1	<u>Kh</u>án,[+	Khán,[+
1	<u>Kh</u>án,[E	Khan,[E
1	<u>Kh</u>án-Atash	Khan-Atash
1	<u>Kh</u>án-Baba	Khan-Baba
1	<u>Kh</u>án-Baba-<u>Kh</u>án	Khan-Baba-Khan
1	<u>Kh</u>án-Baligh	Khan-Baligh
1	<u>Kh</u>án-Khanan	Khan-Khanan
1	<u>Kh</u>án-Mac	Khan-Mac
1	<u>Kh</u>án-Nanih	Khan-Nanih
